id,tempo,energy,loudness,valence,Intensity
59wlTaYOL5tDUgXnbBQ3my,120.024,0.663,-7.896,0.0756,2
0xtbVIWkbfu5G6TgCVmvVn,128.028,0.287,-14.608,0.379,0
3RuXekS5criwismaaj87iF,135.008,0.904,-3.316,0.966,1
2BHu6HOFXgHR936cj10XIi,135.008,0.904,-3.316,0.966,1
7KNoh3Bn4QfgkIGBywkAB0,70.821,0.0325,-25.382,0.0284,0
2VeLdiYiILcCOEV0izfzEW,125.013,0.676,-7.57,0.429,2
0gOz9JUXsaKVzLTSmFDtdo,124.209,0.0274,-20.274,0.087,0
0UFkbnxj34vZVgwwEDy29e,86.966,0.361,-12.066,0.231,2
1Qi6CGoqTG1UvFcuRzKRNL,114.977,0.519,-8.268,0.384,2
3AydAydLzyyZutA0375XIz,174.917,0.819,-4.489,0.846,1
1RKgTID6LoCDMvXxX70vyU,122.976,0.625,-6.013,0.641,1
5PfNKiRk4pyJWxle5cU0ba,110.007,0.735,-8.691,0.415,2
35V6qXUDCvwZdmbKe5PlPG,126.054,0.913,-1.208,0.59,1
1Hohk6AufHZOrrhMXZppax,121.892,0.641,-6.398,0.464,1
3XgGQ1wjo5khvq2UImjyNF,141.967,0.378,-8.54,0.22,2
6DP8InyxdyYChHb2tcV6ia,96.071,0.428,-7.796,0.627,2
3OM6qQmdFV6uy61GIqpRtf,123.915,0.461,-8.191,0.548,2
32P1387Vb7TuwbprjRmtQN,99.998,0.887,-2.298,0.0759,2
1UyDQh3HBJwL6IxR9mXipZ,145.981,0.42,-9.478,0.317,2
38umMmZQdeoOG7Zojor4g3,170.035,0.659,-9.732,0.199,2
3ZWHzPucGUZvgNleqllzdK,179.623,0.749,-4.336,0.416,1
1aqP9g3lLR8bpFtkCTm41N,109.975,0.993,-1.304,0.58,1
5FX30idriKlEIRYTxpNf65,114.007,0.964,-2.087,0.965,1
7dXyRgDZlQnA5OU1SPD1oe,114.042,0.933,-0.096,0.761,1
4LtSTc3xANVhYeeN69nscM,106.887,0.391,-9.884,0.418,2
0gbNOv3x5M87aczFOIEzfp,110.243,0.551,-8.613,0.482,2
3fB2jhxOmwMsTxCYpjYjd4,186.602,0.571,-6.913,0.654,1
65jpYG7TQCh0T7TtKO4Rjj,109.006,0.304,-9.707,0.0973,2
0muXl7VdnqjsMH3IDS2JFI,94.115,0.265,-14.701,0.0569,0
75Ak0cit8hV604Wjlq1gf2,80.034,0.594,-6.497,0.378,2
2uiAZVVKqqYlM6KM9POTYq,98.554,0.792,-10.683,0.776,1
16XEVyPh5NT31CAAqPbxQF,122.004,0.635,-13.94,0.648,1
35Rrbt58ADLxyo1lu7xhZu,110.963,0.78,-7.412,0.718,1
06zJUeKU5KFy50Cho6pDcr,93.976,0.437,-7.169,0.236,2
0d54B7VI12WOMK8AoIWllf,115.006,0.709,-10.247,0.509,1
4vQ0PCcy5uPJBgLxCKarKK,83.176,0.134,-12.096,0.381,0
5j7pU3PrmdKix8kkvPpBzE,96.976,0.757,-5.877,0.538,1
5OWUUF8uJOr0VtA7akVmHX,120.096,0.746,-6.338,0.342,2
4y5mqhrI0tdYI4M3EFluxP,100.054,0.524,-12.536,0.577,2
1tKhy83q8OsdcpZaX9N4Z2,143.89,0.634,-5.551,0.36,2
73y649QhnXdcm6fRdvfraO,129.959,0.387,-9.483,0.42,2
2oaKoKA8bvgWfBi9M8wEVJ,97.244,0.31,-13.287,0.587,2
4XII12nbsvJblXfG1I2QR4,97.025,0.758,-5.567,0.281,2
4pUWMIfXJqRkLgJeEwvqxu,118.038,0.486,-8.364,0.362,2
1Dd2TFOUfL1tYMw53a8VJK,145.974,0.553,-7.648,0.0546,2
0fxglD52oLxhKpVv2od1x9,99.987,0.512,-12.533,0.263,2
03hLe0OA5UuP7VXr4VYURD,170.178,0.482,-6.04,0.368,2
5ZJFJKB0laSPFLEYj7S8cA,145.033,0.647,-6.497,0.294,2
4ynpVFc18s3FxPEkJd5xZq,95.017,0.688,-4.407,0.616,1
1SZnu0wclsSROTitZPP4Yf,109.905,0.0548,-22.15,0.233,0
4AOPgMrdBlaLFF5dxzIhdx,89.988,0.849,-6.389,0.487,1
5eLjgK8JT276Xs8500KdEn,113.002,0.49,-8.37,0.836,1
1rEVydQSe04NJUqyyEyeEq,118.007,0.884,-3.217,0.972,1
7brQHA2CgQpcMBiOlfiXYb,83.996,0.701,-5.693,0.356,2
1UbDqlLHBY7SxKVamO6hqJ,119.949,0.00336,-38.793,0.0505,0
2374M0fQpWi3dLnB54qaLX,92.718,0.373,-18.064,0.732,0
4A9g0WVvFYjJftYWWXXxP7,82.017,0.556,-5.628,0.165,2
5NSr0xa9Qf4J8xKzDnC0uq,139.759,0.965,-2.417,0.28,1
0mpLgvlW0tztoBGKzfLRNr,119.992,0.783,-3.859,0.636,1
3cfnGXJ9bmiWvFqEO6ff8B,131.675,0.443,-13.45,0.391,2
0E4Y1XIbs8GrAT1YqVy6dq,110.184,0.324,-5.851,0.273,2
1mypcM1775ZWFTUVHx6duy,110.171,0.273,-6.352,0.292,2
1MEZDVBm70AGVtvLLgskr8,71.766,0.279,-11.252,0.235,0
7pHECccR6FiKZqFhjULGbB,148.978,0.553,-10.228,0.632,1
70fZer3o9XX9FEusMdyjY3,101.985,0.694,-5.634,0.574,1
5axz8UbmqJO9Yr0w8eMKUe,119.593,0.318,-11.267,0.0465,2
4OPBWPAQ98zh7jBaXyimlo,95.957,0.408,-12.787,0.424,2
3mJnrwJ6RsdrxMNV92bQ1N,140.024,0.852,-3.07,0.409,1
03IjhYX3PKr6DWsGo2rD82,139.895,0.728,-5.833,0.678,1
3f4Iil1Tm7uyA1E0J0Eu4C,141.592,0.378,-14.792,0.144,0
6lV2MSQmRIkycDScNtrBXO,93.033,0.867,-4.285,0.377,2
5FXMRdJjKq1BIX4e8Eg9mK,117.954,0.438,-8.411,0.58,2
6HyoNDIpx057slv9bwR75l,80.051,0.58,-6.566,0.453,2
0z9rJx3tDwped3ypyzoVK8,159.934,0.496,-12.905,0.341,2
7pWAX5kJBULFTDNiH8oB42,70.198,0.0901,-22.456,0.11,0
2l3dFxtoSMgMQVyRIUHjpz,100.021,0.618,-9.007,0.0683,2
1sv41rYgHhPWdyzwk5K9zy,97.546,0.376,-12.586,0.884,1
39LmkwLmeETbr80Uy7HIVU,86.448,0.335,-8.331,0.293,2
5WBnKCEsPwsvWHUZmLjS3s,119.954,0.885,-3.079,0.395,1
12VqHHz4wvVcnEdSivjLeQ,78.616,0.406,-10.419,0.205,2
7JzHP7iXSvGtM6ZdwuGWiP,87.97,0.373,-11.54,0.481,2
7I5WT7DtpwSAhEeDLpZEfm,131.99,0.819,-4.588,0.898,1
5jE48hhRu8E6zBDPRSkEq7,134.052,0.887,-3.726,0.961,1
4NHsEHQtUKErl9uXA6Y0nm,80.003,0.556,-10.722,0.457,2
1zN6ynJG4PdR61YWv4PQ3Y,146.975,0.871,-4.893,0.47,1
1D2Aldrksl9yWWCIPOeDzy,124.948,0.859,-5.03,0.52,1
0WtzuC09SXQ1jvxel6TnlK,118.155,0.177,-13.334,0.247,0
7n6AQKpZUGiJM2auF3yuDY,107.967,0.734,-5.464,0.652,1
7rILDTVEyK9P7GIyy4637Q,111.072,0.628,-5.319,0.84,1
680V5vxHWn2D11Yws0e12V,111.993,0.644,-6.765,0.444,2
7DRDufzLV8vbLRPdkJIqWq,160.061,0.777,-5.253,0.536,1
47emsK4Cj4dMqctYq18U03,62.952,0.442,-8.703,0.261,2
1A3XPibNuMPTbTWlPgRfTD,126.977,0.909,-2.89,0.696,1
2PTvik6EqPAIYOclAB3SU8,144.954,0.984,-7.051,0.553,1
0v9efJ1lA4yhp3P2PLNKqM,75.013,0.808,-3.288,0.508,1
4LmN3eU1R1vVEdKuDELpGk,108.045,0.639,-5.749,0.296,2
2FWquqPNxte8iqZ3ATQG0p,97.133,0.724,-6.064,0.428,2
0NlGoUyOJSuSHmngoibVAs,187.376,0.411,-9.733,0.159,2
5gLNj5gftjqnYhPScCpsr2,174.095,0.754,-3.376,0.311,1
4wPKG3qqGV2VRIIgxbZpwl,99.955,0.763,-6.66,0.21,2
3XThyUoEI8BPDjdu954Uof,139.982,0.925,-3.213,0.269,1
3rrtbnOBDzKQfyYKTezEFe,152.04,0.49,-10.098,0.0378,2
7iv32XEy2HlM7PqQO4lp5f,142.087,0.488,-7.177,0.477,2
6txjv1bYloEaQ65SainV1Y,118.581,0.68,-5.318,0.0397,2
5Uo7AAr2d1CNZlaKgVUT3i,128.073,0.864,-2.04,0.302,1
1gk5o5yEXAsHeXMJoavmh3,115.968,0.678,-7.045,0.433,2
7rRMmhC027ixjjXzuZYoMv,125.946,0.811,-4.874,0.332,2
4bJygwUKrRgq1stlNXcgMg,89.957,0.834,-5.766,0.376,2
77qICJwArD3Lk6s9BoZIxO,149.975,0.709,-6.316,0.426,1
4AKZMzmEUmT0MoR3xisgHM,180.23,0.393,-8.926,0.396,2
0SuLAslEMFZAXf0SwY7syi,90.246,0.567,-4.188,0.505,2
2SDswD3RdceDWthkgCrCCU,112.114,0.618,-5.184,0.323,2
1yxO5CmOSNFq600UkDiPMn,89.971,0.7,-7.066,0.377,2
1FQzF95qaPr0sQXIsjxDQm,114.697,0.524,-5.821,0.551,1
3U4isOIWM3VvDubwSI3y7a,119.93,0.264,-7.064,0.331,2
3Th56VIq2sEaEmPPETu7p5,75.035,0.557,-6.097,0.287,2
7CMyoI8zAFAUhMnQ5NzNnu,103.026,0.975,-3.48,0.745,1
68RveqIjrkOeBbEGL67GgA,139.961,0.792,-5.294,0.86,1
6YYVzVapUF3UnZQ0igasl3,83.782,0.781,-5.926,0.801,1
64ta7ZvTJeThz7Ns4LmAHS,79.904,0.237,-13.764,0.357,0
6epWOvYxmfcqxhuRAlMooB,120.005,0.238,-20.089,0.136,0
4fFkeWRy0xKYwPzm4HDdnu,108.016,0.434,-11.32,0.0768,2
2PnZshFzhKj08VNZcbqpGf,127.971,0.707,-7.248,0.282,2
3BIc6CjDJxm6P1qCls2nKa,120.018,0.354,-15.505,0.037,0
0Lu9pdU9sOqI2jFwxfztCb,170.116,0.785,-2.407,0.47,1
6ystEVEaGFiGAm5KG01v8U,134.506,0.113,-18.99,0.0417,0
7kkT0Z4U36CLd8uhnQ9SMs,79.964,0.617,-7.76,0.0868,2
2rTQvFeFEweuesY1iioB0T,169.661,0.405,-6.859,0.642,1
6x4EFTRAPdQsXyRtzo22y5,67.549,0.00816,-25.501,0.424,0
2lxW1CHmEhVZc9d94IdxwJ,103.992,0.514,-9.249,0.568,2
6zDdR5SUiRPmAhQIxnsbQU,92.089,0.574,-7.343,0.305,2
3e5yu9MkIvQx17mm7LF6KY,86.664,0.274,-12.565,0.207,0
28VbwtsYnj85UEODGpQRem,88.011,0.659,-4.493,0.628,1
2VKmGMytOeT0F3P5gwNWyi,115.015,0.959,-2.579,0.874,1
43YwOmGUOS3zzGvj1Feszb,77.276,0.301,-13.321,0.0409,0
7EjatvVN2Y2GjpvKSyWJR4,84.015,0.654,-5.57,0.241,2
36JAat3btntBNfrXuPEuQD,81.563,0.437,-13.057,0.35,2
1PKqiewc0OyZVYxFz5ugbH,123.999,0.759,-3.292,0.761,1
4lPvAuYbmxixv12m4TXVSk,169.786,0.596,-8.116,0.636,1
2RmsU8ooQ6dUmtPmAOzKOB,139.903,0.592,-7.746,0.438,2
1fidCEsYlaVE3pHwKCvpFZ,119.968,0.675,-6.003,0.779,1
4qRcjFkFqSpLBzcbLDt7HL,180.071,0.458,-7.632,0.748,1
7mfvOqsvzZaUl7sfbcNk4E,102.804,0.532,-10.872,0.139,2
4ynh6SYokrNc1E6fHKSTht,102.824,0.812,-7.452,0.251,2
7t1C2Z5kYtmhZGMs5mIFz2,79.381,0.588,-8.117,0.634,2
4HOsVv1uK6DS0gYKBCWMGv,204.06,0.501,-8.89,0.252,2
6nTiIhLmQ3FWhvrGafw2zj,186.113,0.988,-2.042,0.769,1
32il27dOrLpIru8Evp4Pu7,81.067,0.514,-7.099,0.365,2
2ujZhRfx9hPlqaSWyYtPyF,99.956,0.699,-5.398,0.533,1
0l1i3nJ4aDMk0inxnvzYTz,164.003,0.714,-4.494,0.618,1
7lPd7B5SFhLVuXXutjGssF,79.933,0.354,-15.523,0.371,0
1ThCQHxG7leBTDgPW2xQLZ,83.048,0.522,-5.687,0.654,1
2m6Ko3CY1qXNNja8AlugNc,72.498,0.559,-6.425,0.338,2
0wzThSEGQOnrGtFnyxGSMZ,99.892,0.126,-13.868,0.102,0
7rWgGyRK7RAqAAXy4bLft9,133.113,0.922,-6.091,0.964,1
1YIhmgvi4tTDD1VAiWQsIP,124.996,0.872,-5.377,0.743,1
00vhtWzNIISd9I04Cl3K7N,175.916,0.48,-8.353,0.365,2
65G7XDGcybJiGywSCXJiL5,128.015,0.914,-5.351,0.0381,2
3rjM7GhxdVq1YySsHBs21i,76.998,0.961,-3.089,0.818,1
4yFxuEx4YwpGpFQ7EaXT4o,120.017,0.708,-6.073,0.486,1
1jQyxlt48R1Jdn37Rgn04d,77.053,0.639,-6.614,0.214,2
3pNxVP6r45iUho1uxEYdj9,137.954,0.97,-5.332,0.959,1
0DYRjWiFJHvLjxRrywtltC,86.004,0.634,-5.377,0.33,2
3ng7epefERNazaZkkbwLdq,125.014,0.724,-5.189,0.382,2
3JvKfv6T31zO0ini8iNItO,122.769,0.537,-8.532,0.131,2
57JVGBtBLCfHw2muk5416J,109.975,0.528,-6.472,0.756,1
4eKN8RPS06OHyk8dTdempU,100.018,0.455,-10.773,0.0359,2
513uSXDTLPcXZkLoJr0TOO,115.884,0.538,-8.026,0.584,1
2ZaibgMfl2NS3ntzYqnLhm,85.665,0.34,-10.935,0.0397,2
1qlazPhrxw3xGG1MZHQ1p6,104.541,0.624,-6.931,0.84,1
7EI6Iki24tBHAMxtb4xQN2,106.93,0.797,-3.953,0.321,2
1AfFUID69eG8hOkkc3asNM,123.934,0.52,-4.872,0.346,2
3AVrVz5rK8Hrqo9YGiVGN5,94.473,0.467,-9.018,0.174,2
4r8p26F2OURIbRgSjHOJqA,128.08,0.648,-4.316,0.271,2
1NrJYpdAi7uosDRPmSYrsG,118.008,0.74,-6.12,0.502,1
0zLnAV1lYEhVnKk3ITmCym,179.836,0.208,-12.273,0.42,2
7I4ty3om2Ep1WlcGftwShl,60.035,0.0742,-24.299,0.0398,0
6ZxPYutGhjLTrcmvcshCa4,128.776,0.532,-8.018,0.465,2
1Xi84slp6FryDSCbzq4UCD,71.884,0.329,-12.603,0.266,0
0IX9PmqxgSTUVtLhHkqQ3H,138.518,0.82,-7.142,0.246,2
5Cyy8UMG6ch51oXYenPGzN,92.029,0.338,-7.96,0.321,2
39DfslxGf8Hh0ljKN8h0Ng,142.995,0.537,-13.448,0.923,1
39DfslxGf8Hh0ljKN8h0Ng,142.995,0.537,-13.448,0.923,1
4P04JqCLPPMBBCVU50w6Iz,132.206,0.168,-14.805,0.0618,0
6s86N7LVaJZuU4alwKp6XO,139.324,0.578,-7.657,0.297,2
7fJozqj7NMdvo0zkcXDbgg,156.059,0.698,-5.464,0.643,1
0A4nmNFa3HNGiyJLGoHJUg,120.012,0.778,-6.763,0.616,1
5So8nHNL6ozctmXC2Ws6yA,176.053,0.651,-6.261,0.366,1
7BYBFXptGL6IPWMN2fy0bL,112.112,0.605,-6.987,0.285,2
2LskIZrCeLxRvCiGP8gxlh,104.969,0.723,-5.45,0.288,2
3j6s1vr84KzKlpF0QfHzDy,74.983,0.699,-3.84,0.132,2
0x0kiJ0XSLQ4uOJI9uEBzd,135.013,0.794,-9.958,0.334,2
0ZIXzljb3OyZQBORi4hUf9,107.048,0.303,-10.49,0.414,2
13JLAaCBniWngbG2u7owok,147.498,0.67,-8.052,0.32,2
27nkWHXFTNmlSTZPLhKMtp,181.598,0.0459,-23.924,0.0377,0
0Xlthct8SOi0gAdnn2GbRT,156.031,0.286,-16.552,0.234,0
0JanZrjJc3yn63AGgBDLAb,146.015,0.681,-5.178,0.26,2
4LRPiXqCikLlN15c3yImP7,173.93,0.731,-5.338,0.662,1
7JBWagcdXEX1dDZTCKUo7R,136.112,0.174,-13.751,0.311,0
0pwYLVXVknPSGUQb39cePC,139.691,0.873,-3.382,0.613,1
4JE6agBLHGA5TaF6FlqfBD,123.829,0.45,-5.362,0.18,2
5LuenPeo98IBXOUy8r4yC0,81.699,0.523,-9.919,0.28,2
5yksRgkNOT7BP5LPsVkBnZ,116.969,0.546,-8.048,0.968,1
4gXdMZkBN1neE9nX6yRALa,83.093,0.796,-6.152,0.676,1
1VYruNWR6k3fKQL5LXtIIK,193.99,0.644,-9.074,0.409,1
14e46mURUUwB3i2vTe1gFz,169.917,0.444,-9.4,0.62,1
6qRofeOAJif90e0IPl9gz4,121.078,0.146,-20.574,0.117,0
0zsDAdng7q4y8vAXXEDuED,82.054,0.426,-9.554,0.0798,2
0ri0Han4IRJhzvERHOZTMr,91.921,0.415,-5.926,0.667,2
58w68w4s8h9gw3xrDaXyuj,92.043,0.484,-5.579,0.35,2
3Jw15mUi470MLV3fFEWoSc,110.009,0.114,-23.789,0.0786,0
4GUpreonDXgwCKCZSAsTPm,77.051,0.0936,-16.143,0.329,0
4AsCJmJXmBS4Mwy2lVxuVz,91.965,0.144,-19.469,0.104,0
6bRkfUjCF4vSb1n9Vgj1Wj,136.114,0.184,-19.535,0.182,0
3u6PxWema1snbjLbFEyjkJ,99.808,0.561,-7.068,0.215,2
3rrIDEeu3ih9dAzop5LiPk,74.42,0.00552,-36.657,0.0282,0
5IzZpz0vA73IIjqFPpXSXP,125.01,0.608,-8.498,0.0389,2
5cF0dROlMOK5uNZtivgu50,100.066,0.613,-4.586,0.797,1
1heAYXQYiL5e2VBRClCaif,66.529,0.00327,-37.357,0.051,0
1n8LLZscaI7E1qG6EXYMNy,173.988,0.928,-5.599,0.473,1
2HNazy8cLJs8UlNjNfgn38,80.037,0.144,-18.412,0.0906,0
5XND8aufA4UvtqAgARcjfN,143.804,0.689,-5.849,0.176,2
6aZ8xwHXBLY8Cph8GWdtWr,134.966,0.529,-6.184,0.371,2
1BikQ3e5AUfDSdzTosW9bE,110.386,0.205,-15.144,0.345,0
54LFnRxLlnwV7R04CMZwjD,119.999,0.508,-6.272,0.555,1
7IEww1rwWe1scos6rarOYh,149.912,0.515,-6.908,0.16,2
44EgTZXLY0a2NcKaZdnkyL,98.003,0.871,-7.073,0.79,1
0Bo5fjMtTfCD8vHGebivqc,138.045,0.907,-3.321,0.786,1
3fwyItGexa88kR8j76dIqv,104.743,0.28,-12.668,0.299,0
5K3SJuYEkvvrLbzOjPyRi1,105.483,0.582,-5.535,0.538,1
5K3SJuYEkvvrLbzOjPyRi1,105.483,0.582,-5.535,0.538,1
2sWoPLbQ4qCZ56D5yCX5W3,149.982,0.591,-5.878,0.645,1
3k2apDc7IgQL2dbUxQKkaQ,146.002,0.568,-9.982,0.461,2
3iXxmoN99RrzPduOrDITQf,124.026,0.859,-8.095,0.147,2
4s5MyMeElBghgUmSihtic9,83.608,0.428,-9.812,0.0392,2
3UHNRo52Jrra0NfaIlYbk4,72.522,0.35,-7.03,0.225,2
1xnsTtYlN5GYO30FqYLG1i,161.99,0.665,-5.47,0.694,1
4v2NVNvvFKmflDJ8BeHCxw,120.005,0.864,-4.386,0.0539,2
1JKhyE1kemLVv3on1QEKwA,88.712,0.825,-4.638,0.235,2
1YT2jbHmwiYLi2qxRF2F2f,120.027,0.913,-1.689,0.557,1
0D3SaRvnoMohXOEJ75GieD,183.995,0.891,-2.819,0.664,1
3EqkflivbF639pZxjyl7JN,149.954,0.977,-1.56,0.619,1
1KRWGLfiCqIskrZbl3pOhJ,150.063,0.866,-4.118,0.499,1
6iC7vapdKp0XlKhxOkp8QJ,123.035,0.84,-3.386,0.203,2
2CrrWAO1SOHP5xw8nACU2o,150.027,0.706,-8.015,0.527,1
7aSvPfoqiM0zwPqupLGaHd,93.009,0.77,-6.24,0.647,1
0FvJ787Vtnbo8QJseYQYwo,76.521,0.996,-4.798,0.51,1
5kls2kQ8YOqtiqOK9QqAns,169.996,0.929,-2.092,0.592,1
2UJqZVPiM0DtiU8ToOgntp,102.013,0.528,-19.93,0.189,0
4XcxgZSriCYamtIA7BgT7V,109.946,0.664,-6.932,0.509,1
4Mvnk4EELuPLi7nuGyC4XB,61.723,0.194,-11.904,0.038,0
